NameYear,bibcode,ads_url,notes
Wang2019b,2019ApJ...884...30W,https://ui.adsabs.harvard.edu/abs/2019ApJ...884...30W/abstract,
Wang2021a,2021ApJ...907L...1W,https://ui.adsabs.harvard.edu/abs/2021ApJ...907L...1W/abstract,
Wang2024,2024ApJ...968....9W,https://ui.adsabs.harvard.edu/abs/2024ApJ...968....9W/abstract,
Wenzl2021,2021AJ....162...72W,https://ui.adsabs.harvard.edu/abs/2021AJ....162...72W/abstract,
Willott2007,2007AJ....134.2435W,https://ui.adsabs.harvard.edu/abs/2007AJ....134.2435W/abstract,
Willott2009,2009AJ....137.3541W,https://ui.adsabs.harvard.edu/abs/2009AJ....137.3541W/abstract,
Willott2010a,2010AJ....139..906W,https://ui.adsabs.harvard.edu/abs/2010AJ....139..906W/abstract,
Willott2010b,2010AJ....140..546W,https://ui.adsabs.harvard.edu/abs/2010AJ....140..546W/abstract,
Willott2013,2013ApJ...770...13W,https://ui.adsabs.harvard.edu/abs/2013ApJ...770...13W/abstract,
Willott2015,2015ApJ...801..123W,https://ui.adsabs.harvard.edu/abs/2015ApJ...801..123W/abstract,
Willott2017,2017ApJ...850..108W,https://ui.adsabs.harvard.edu/abs/2017ApJ...850..108W/abstract,
Wolf2024,2024A&A...691A..30W,https://ui.adsabs.harvard.edu/abs/2024A%26A...691A..30W/abstract,
Wu2015,2015Natur.518..512W,https://ui.adsabs.harvard.edu/abs/2015Natur.518..512W/abstract,
Yang2017,2017AJ....153..184Y,https://ui.adsabs.harvard.edu/abs/2017AJ....153..184Y/abstract,
Yang2019a,2019ApJ...871..199Y,https://ui.adsabs.harvard.edu/abs/2019ApJ...871..199Y/abstract,
Yang2019b,2019AJ....157..236Y,https://ui.adsabs.harvard.edu/abs/2019AJ....157..236Y/abstract,
Yang2019c,2019ApJ...880..153Y,https://ui.adsabs.harvard.edu/abs/2019ApJ...880..153Y/abstract,
Yang2020,2020ApJ...897L..14Y,https://ui.adsabs.harvard.edu/abs/2020ApJ...897L..14Y/abstract,
Yang2021,2021ApJ...923..262Y,https://ui.adsabs.harvard.edu/abs/2021ApJ...923..262Y/abstract,
Yang2023,2023ApJS..269...27Y,https://ui.adsabs.harvard.edu/abs/2023ApJS..269...27Y/abstract,
YangD2024,2024MNRAS.528.2679Y,https://ui.adsabs.harvard.edu/abs/2024MNRAS.528.2679Y/abstract,
Yue2021,2021ApJ...921L..27Y,https://ui.adsabs.harvard.edu/abs/2021ApJ...921L..27Y/abstract,
Zeimann2011,2011ApJ...736...57Z,https://ui.adsabs.harvard.edu/abs/2011ApJ...736...57Z/abstract,
Zhu2023,2023ApJ...955..115Z,https://ui.adsabs.harvard.edu/abs/2023ApJ...955..115Z/abstract,
ZhuY2024RN,2024RNAAS...8..284Z,https://ui.adsabs.harvard.edu/abs/2024RNAAS...8..284Z/abstract,
